tbl_sentiment_analysis_title,tbl_sentiment_analysis_description,tbl_sentiment_analysis_category,tbl_sentiment_analysis_url,tbl_sentiment_analysis_image,tbl_sentiment_analysis_provider,tbl_sentiment_analysis_datePublished,tbl_sentiment_analysis_sentiment
"Health Ministry To Ask BCCI To Ban Tobacco Ads During Cricket Matches, Remove Pan Masala Hoardings From Arun Jaitley Stadium","The Union Health Ministry is set to request the Board of Control for Cricket in India (BCCI) to halt the display of smokeless tobacco advertisements during cricket matches. This appeal includes the removal of surrogate ads from gutka brands, which are often promoted by Bollywood celebrities and former cricketers, as reported by Mint.",ScienceAndTechnology,https://www.msn.com/en-in/sports/cricket/health-ministry-to-ask-bcci-to-ban-tobacco-ads-during-cricket-matches-remove-pan-masala-hoardings-from-arun-jaitley-stadium/ar-BB1pZWlP,https://www.bing.com/th?id=OVFT.A5sUjCFWN1PpJQVQmK52Py&pid=News,Free Press Journal on MSN.com,15 July 2024,neutral
Health ministry to ask BCCI to stop showing tobacco ads during cricket match,"The union health ministry is planning to ask the Board of Control for Cricket in India (BCCI) to stop showing smokeless tobacco advertisements, especially surrogate ads for 'gutka' endorsed by Bollywood celebrities in cricket grounds. Several cricket ...",World,https://www.msn.com/en-in/news/other/health-ministry-to-ask-bcci-to-stop-showing-tobacco-ads-during-cricket-match/ar-BB1pXEqu,https://www.bing.com/th?id=OVFT.Pu0oTKcoYYe2OttHpUqowy&pid=News,Mint on MSN.com,15 July 2024,neutral
Here's the Latest 2025 Social Security COLA Estimate -- and Why It's Both Good News and Bad News for Retirees,"Even with moderating inflation, there's still a big problem for retirees with whatever next year's COLA will be.",Business,https://www.msn.com/en-us/money/retirement/here-s-the-latest-2025-social-security-cola-estimate-and-why-it-s-both-good-news-and-bad-news-for-retirees/ar-BB1q014J,https://www.bing.com/th?id=OVFT.PnqnONnLwpuJWqagB694nS&pid=News,The Motley Fool on MSN.com,15 July 2024,negative
How Donald Trump might make it harder to vote if he wins a new term,"As Donald Trump prepares to accept the Republican presidential nomination, the ACLU warns that his administration would make it harder to vote.",Politics,https://www.usatoday.com/story/news/politics/elections/2024/07/13/trump-win-voting-rights-effect/74384702007/,https://www.bing.com/th?id=OVFT.MWIzMsQVioRQFG14xq1kai&pid=News,USA Today,13 July 2024,negative
How Vote Reflects Farmers’ View on India’s BJP’s Agrarian Policy Amid Climate Change,"Political parties often play lip service to climate change, but farmers ensured their views were heard during the recent general elections in India.",World,https://www.ipsnews.net/2024/07/vote-reflects-farmers-view-indias-bjps-agrarian-policy-amid-climate-change-challenges/,https://www.bing.com/th?id=OVFT.KkEjK4a690cFUTBD2ET9qC&pid=News,Inter Press Service,15 July 2024,neutral
Hull City transfer latest as Tim Walter sends 'numbers' message after pre-season opener,Hull City boss Tim Walter remains relaxed about the club's transfer activity with less than four weeks to go until the start of the new Championship campaign. City kicked off the Walter era with a 1-1 draw against Super Lig side Kasimpasa on Saturday ...,Sports,https://www.hulldailymail.co.uk/sport/football/transfer-news/hull-city-transfer-latest-tim-9409784,https://www.bing.com/th?id=OVFT.klDVfvMX8tPPpuTEKpJtVC&pid=News,Hull Daily Mail,14 July 2024,positive
India-Pakistan Cricket Series Faces Govt. Hurdle: BCCI,"According to a PCB source, in the event that the team declines to travel here for the Champions Trophy the following year, citing a travel ban due to security concerns, the Pakistan Cricket Board will require the BCCI to submit documented evidence of the ...",Sports,https://www.msn.com/en-in/news/other/india-pakistan-cricket-series-faces-govt-hurdle-bcci/ar-BB1q08m8,https://www.bing.com/th?id=OVFT.eXxmEZO8Azml50k-84KxRi&pid=News,Cricket Country on MSN.com,15 July 2024,negative
Jalen Brunson forfeits $113 in new Knicks deal — was it the right move?,"Because of the new CBA, it gives the Knicks big advantages going forward ... Get all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox.",Sports,https://www.foxnews.com/sports/jalen-brunson-forfeits-113-new-knicks-deal-right-move,https://www.bing.com/th?id=OVFT.Kn7ZI-VcgnlVGNGTpotk6S&pid=News,Fox News,15 July 2024,positive
Judge Aileen Cannon cleaned up her own mess by making a new one,"In dismissing Trump's classified documents case, Cannon found the worst way possible to clear the lengthy backlog of motions she had yet to rule on.",ScienceAndTechnology,https://www.msn.com/en-us/news/politics/judge-cannon-has-washed-her-hands-of-her-mar-a-lago-mess/ar-BB1q2bPv,https://www.bing.com/th?id=OVFT.B1wim12wK5lp9FgK7mk48i&pid=News,MSNBC on MSN.com,15 July 2024,negative
"Kenya vs Nigeria Live Cricket Score, 3rd T20, Nigeria in Kenya, 5 T20I Series, 2024, July 15, 2024","19.2: Francis Mutua to Taiwo Mohammed, 2 runs, played towards point. 19.1: Francis Mutua to Vincent Adewoye, 1 run, played towards third man. 18.6: Gerard Mwendwa to Taiwo Mohammed, No run. 18.5: Gerard Mwendwa to Taiwo Mohammed, 2 runs, played towards mid ...",LifeStyle,https://www.dnaindia.com/live-cricket-score/kenya-vs-nigeria-3rd-t20-nig-in-ken-5-t20is-2024-match-111593,https://www.bing.com/th?id=OVFT.uQwtebqBLshf6_-ZiUj9ay&pid=News,DNA India,15 July 2024,neutral
"Kim Kardashian says India has her heart, shares picture with Anant, Radhika","Anant Ambani and Radhika Merchant's wedding in Mumbai from July 12-14 was a lavish event attended by many political figures and global celebrities, including Kim and Khloe Kardashian. Kim shared exclusive photos from the celebration on Instagram.",Entertainment,https://www.moneycontrol.com/entertainment/kim-kardashian-says-india-has-her-heart-shares-picture-with-anant-radhika-article-12769184.html,https://www.bing.com/th?id=OVFT.KXVMp4fxivEHgefBpDLcwy&pid=News,moneycontrol.com,15 July 2024,neutral
"King Charles and Queen Camilla to visit Australia, but not New Zealand, in scaled back royal tour","Picture: Chris Jackson/Pool/AFP “In close consultation with the Australian and New Zealand Prime Ministers ... Just weeks after receiving the cancer news, Charles was still insisting on visiting Australia as part of the CHOGM meeting because of his ...",Politics,https://www.theaustralian.com.au/world/king-charles-and-queen-camilla-to-visit-australia-but-not-new-zealand-in-scaled-back-royal-tour/news-story/3c3717b8050fc6682d275d059d24e1d4,https://www.bing.com/th?id=OVFT.CO4yAILDaz4LBd-iZndVXi&pid=News,The Australian,14 July 2024,neutral
Kyle Walker shares a sweet kiss with his son as wife Annie Kilner and new baby attend England vs Spain Euros 2024 final,"Although the WAG was present at every England match, she had apparently vowed 'not to play happy families' with her husband in Germany.",Sports,https://www.dailymail.co.uk/tvshowbiz/article-13635137/kyle-walker-kiss-son-annie-kilner-england-spain-euros-2024-final.html,https://www.bing.com/th?id=OVFT.L7LO0RNxPPb0ysdKpX45dS&pid=News,Daily Mail,15 July 2024,neutral
Laurent Blanc named Al-Ittihad’s new coach,"Ittihad's new coach, replacing Marcelo Gallardo, the Saudi Pro League club announced on Saturday.""Welcome to Al-Ittihad, Coach Laurent Blanc,"" Al-Ittihad posted on the X social media platform without providing more details on the contract.",Sports,https://www.channelnewsasia.com/sport/laurent-blanc-named-al-ittihads-new-coach-4478091,https://www.bing.com/th?id=OVFT.u-IZXlVvA2gETCi2dy2nIi&pid=News,Channel NewsAsia Singapore,14 July 2024,neutral
Little makes 'passionate' Ireland Test cricket promise,"Fast bowler Josh Little is ""passionate"" about Test cricket and says he will definitely play the format for Ireland in the future.",Sports,https://www.msn.com/en-us/sports/other/little-makes-passionate-ireland-test-cricket-promise/ar-BB1pZI6W,https://www.bing.com/th?id=OVFT.Gn6h-WtVCLULrv8iUk4qyy&pid=News,BBC on MSN.com,15 July 2024,positive
"Live AFL scores 2024, West Coast Eagles vs Brisbane Lions, Round 18: Updates, stats, how to watch, stream, video, team news, blog","Watch every game of every round this Toyota AFL Premiership Season LIVE with no ad-breaks during play on Kayo. New to Kayo? Start your free trial today > Interim Eagles coach made his first big call in the hot seat, dropping premiership forward Jack ...",Sports,https://www.foxsports.com.au/afl/live-afl-scores-2024-west-coast-eagles-vs-brisbane-lions-round-18-updates-stats-how-to-watch-stream-video-team-news-blog/news-story/f9a3e43f131a1e44fb12abd0a3de51e9,https://www.bing.com/th?id=OVFT.bLO7fHxrP3JiUphFn9hhIi&pid=News,Fox Sports,14 July 2024,positive
"Live coverage: Trump shooting suspect latest, Melania Trump releases statement","9:15 a.m. In a new post on his social media network ... Donald Trump Jr. also told FOX News Digital in a statement that his father was in ""great spirits."" The Federal Bureau of Investigation has identified 20-year-old Thomas Mathew Crooks as the shooter ...",World,https://www.fox29.com/news/live-coverage-trump-shooting-suspect-latest-sunday-2024,https://www.bing.com/th?id=OVFT.CB90rGDG-lChdgqyG1xVWC&pid=News,FOX 29,14 July 2024,neutral
Liverpool transfer news Reds 'prepare' to trigger £50m Dani Olmo deal plus Joao Neves update,"Reports in Portugal continue linking the club with Benfica midfielder Joao Neves, with Liverpool allegedly having a £51million bid turned down. Chelsea, Manchester United and Paris Saint-Germain are also credited with an interest, but the Portuguese club will reportedly not accept less than the player's £101million release clause.",Sports,https://www.liverpoolecho.co.uk/sport/football/transfer-news/liverpool-transfer-news-live-neves-29493609,https://www.bing.com/th?id=OVFT.n22WhJrixnmJfMPpSqqFIi&pid=News,Liverpool Echo,13 July 2024,neutral
Locals support plans for new rules on holiday lets,"In Abersoch, one man says locals who want to buy or rent in the town are no longer able to because ""they're all holiday homes."" Opponents have said the council is deliberately trying to ""crash the housing market"" and it could devalue every residential property in the county.",Politics,https://www.bbc.com/news/videos/cp68yn0619jo,https://www.bing.com/th?id=OVFT.2wOUqbq0CaoFTmQGnM6KuS&pid=News,BBC,15 July 2024,neutral
"Major League Cricket 2024 - Match 13, SO vs SFU - Cricket Betting Tips and Match Predictions: July 15","Here are the Fantasy Cricket Predictions and Betting Tips for the Major League Cricket Match 13- Seattle Orcas vs San Francisco Unicorns, which will be played on the 13th of July at the Church Street Park,",Sports,https://www.cricketworld.com/major-league-cricket-2024-match-13-so-vs-sfu-cricket-betting-tips-and-match-predictions-july-15/95702.htm,https://www.bing.com/th?id=OVFT.NaPH6XXTVOcFVOjWvPfYlC&pid=News,Cricket World,15 July 2024,neutral
Major League Cricket Tips Matches 13 and 14: Back top Pat bet at 40/1,"Lungi Ngidi is available for Seattle after Wayne Parnell, the captain, was forced to withdraw presumably with an injury. Nandre Burger could miss out. Seattle need a spark after two defeats in three left them bottom of the table. Probable XI: Rickleton ...",Sports,https://betting.betfair.com/cricket/20-twenty-cricket/major-league-cricket-tips-matches-13-and-14-back-pat-cummins-top-bat-bet-at-40-1-150724-194.html,https://www.bing.com/th?id=OVFT.0ao_ifJOTaZ8fY1elLROLC&pid=News,Betfair,15 July 2024,negative
Major League Cricket: Pat Cummins to Join San Francisco Unicorns Squad,"Pat Cummins is set to return to the USA once again. The Australian fast bowler, last seen in action during the T20 World Cup in the United States and West Indies, will join the San Francisco Unicorns midway through the ongoing Major League Cricket season.",Sports,https://www.msn.com/en-in/sports/cricket/major-league-cricket-pat-cummins-to-join-san-francisco-unicorns-squad/ar-BB1pZSJa,https://www.bing.com/th?id=OVFT.EvYIAASYYBfk7hrOBpxkky&pid=News,News18 on MSN.com,15 July 2024,neutral
"Man Utd transfer news LIVE: Willy Kambwala SIGNS for Villarreal, Joshua Zirkzee CONFIRMED, Greenwood latest EXCLUSIVE","MASON GREENWOOD’S Marseille transfer is now under THREAT, SunSport can reveal. Meanwhile, the club have confirmed that Ruud van Nistelrooy will join the club as an assistant coach. United",Sports,https://www.thesun.co.uk/sport/27841556/man-utd-transfer-news-live-joshua-zirkzee-de-ligt-updates/,https://www.bing.com/th?id=OVFT.XGnK_Iw-gfVtW2rzDBvahy&pid=News,The Sun,15 July 2024,neutral
"Markets live: ASX to open flat, Wall Street hits new record high on bets of Donald Trump presidency","The Australian share market is likely to start its day marginally lower, but still near its record high levels, while Wall Street surged on bets of a second Trump presidency and interest rate cuts. Follow live.",Business,https://www.msn.com/en-au/money/markets/markets-live-asx-to-open-flat-wall-street-hits-new-record-high-on-bets-of-donald-trump-presidency/ar-BB1q2hqV,https://www.bing.com/th?id=OVFT.NawDM3proWUjeyeyjAHgoi&pid=News,ABC Business on MSN.com,15 July 2024,neutral
"Meet Na Kyung-won, the Woman Who Could Start a Whole New Nuclear Standoff","The new guidelines, said the South’s Yonhap News, were designed “to help assuage deepening security concerns in South Korea and reaffirm Seoul’s commitment to the non-nuclear proliferation regime,” The carefully crafted verbiage was not likely ...",World,https://www.thedailybeast.com/na-kyung-won-the-woman-who-could-start-a-whole-new-nuclear-standoff,https://www.bing.com/th?id=OVFT.5qpMWDzY6U_ciRtD5Wk6KS&pid=News,The Daily Beast,14 July 2024,neutral
"More than 100 years after Fátima, New Jersey Knights of Columbus promotes similar message",The “Living Our Faith to Restore Our Nation” resolution was officially approved this past March by the Knights of Columbus Order of the Fourth Degree.,Politics,https://www.catholicnewsagency.com/news/258274/100-years-after-july-13-fatima-apparition-new-jersey-knights-of-columbus-promotes-similar-message,https://www.bing.com/th?id=OVFT.ED6Ntly5ChG8JjqYGdDH6S&pid=News,Catholic News Agency,13 July 2024,neutral
My New Favorite Drama-Filled Thriller Is on Netflix—and It Has 183 Wild Episodes,"My favorite new drama-filled thriller is on Netflix, and it’s called ‘La Reina del Sur’. The telenovela starring Kate del Castillo has 183 wild episodes so I highly recommend you start streaming the hit show now.",Entertainment,https://www.msn.com/en-us/entertainment/news/my-new-favorite-drama-filled-thriller-is-on-netflix-and-it-has-183-wild-episodes/ar-BB1q2m5x,https://www.bing.com/th?id=OVFT.oSp5LFGp6qin2LerpWlVWi&pid=News,purewow on MSN.com,16 July 2024,positive
NASCAR News: Alex Bowman Disappointed - Reveals What Went Wrong At Pocono Raceway,"Alex Bowman has expressed disappointment after missing out on a victory at Pocono Raceway despite a strong showing, reflecting on opportunities lost and the need for continued improvement as he aims for success for his number 48 car and team.",Sports,https://www.msn.com/en-us/sports/other/nascar-news-alex-bowman-disappointed-reveals-what-went-wrong-at-pocono-raceway/ar-BB1q0cOu,https://www.bing.com/th?id=OVFT.zaRi97OR0JVt8aXezTy3Fi&pid=News,Newsweek on MSN.com,15 July 2024,negative
NBA News: Bronny James admits he might not be ready to play with Lakers and LeBron James,"Bronny James is feeling the pressure as a new member of the Los Angeles Lakers. A few weeks ago, the son of LeBron James was selected with the No.55 pick in the 2024 NBA Draft and, since that moment on, many fans and experts have constantly expressed a lot of criticism toward the rookie.",Sports,https://www.msn.com/en-us/sports/nba/nba-news-bronny-james-admits-he-might-not-be-ready-to-play-with-lakers-and-lebron-james/ar-BB1pVif0,https://www.bing.com/th?id=OVFT.-vckeZPIoume8LJGNuP6IS&pid=News,bolavip on MSN.com,13 July 2024,neutral
New Foreign Secretary Vikram Misri's China stint to count in ongoing global political turmoil,"Vikram Misri, who took over as India's Foreign Secretary on Monday, has served in various capacities at the Ministry of External Affairs (MEA) headquarters in New Delhi, various Indian Missions all over the world,",India,https://www.ibtimes.co.in/new-foreign-secretary-vikram-misris-china-stint-count-ongoing-global-political-turmoil-870161,https://www.bing.com/th?id=OVFT.VQlokcA2rbAF9HPq_z5cXS&pid=News,IBTimes India,15 July 2024,neutral
New fundraising push for Chatsworth cascade repair,A new fundraising push has been launched for a famous water feature at Chatsworth House that requires repairs costing £7m. The water that used to run down a cascade of 23 stone steps at the Derbyshire attraction has been turned off because it was leaking and causing structural damage to a tunnel underneath.,Politics,https://www.bbc.co.uk/news/articles/clwyr24ell8o,https://www.bing.com/th?id=OVFT.2C4fn7IhQ_nRgBKSPJ0EOS&pid=News,BBC,15 July 2024,negative
New IMPD leader wants to take major step in community engagement,Listening is part of Maj. Corey Mims foundation as he leads the team at IMPD's community engagement and outreach for the first time.,LifeStyle,https://www.msn.com/en-us/news/us/new-impd-leader-wants-to-take-major-step-in-community-engagement/ar-BB1q2tie,https://www.bing.com/th?id=OVFT.B9LJB_Fl4b1rpQ8RBQncgi&pid=News,WISH-TV on MSN.com,15 July 2024,neutral
"New search launched for body of woman kidnapped, killed 54 years ago after being mistaken for Rupert Murdoch's wife",Two brothers kidnapped Muriel McKay in 1969 for a £1 million ransom -- thinking that she was Rupert Murdoch's second wife.,World,https://www.msn.com/en-us/news/crime/new-search-for-1969-murder-victim-mistaken-for-rupert-murdochs-wife/ar-BB1q1iFg,https://www.bing.com/th?id=OVFT.K-3sJlH2sVNW588ugDBt1i&pid=News,CBS News on MSN.com,15 July 2024,negative
New UAE Minister of Defence after 53 years: What you need to know about Cabinet reshuffle,"In its second Cabinet reshuffle of 2024, the UAE made a significant announcement, appointing a new Minister of Defence (MoD). On Sunday (July 14), the Duba..",World,https://www.msn.com/en-ae/news/national/new-uae-minister-of-defence-after-53-years-what-you-need-to-know-about-cabinet-reshuffle/ar-BB1q04TQ,https://www.bing.com/th?id=OVFT.Tl__qK3hAxq3Wrqc8G5urC&pid=News,Khaleej Times on MSN.com,15 July 2024,neutral
New York's first female fire commissioner says she will resign once a replacement is found,The first female commissioner of the Fire Department of New York said Saturday that she plans to step down because it's time to “pass the torch” after two years in the job. Laura Kavanagh didn't say when she plans to resign.,Politics,https://www.msn.com/en-us/news/us/new-yorks-first-female-fire-commissioner-says-shell-resign-once-a-replacement-is-found/ar-BB1pVFsr,https://www.bing.com/th?id=OVFT.1brz-UHjKkSPfXxQxdSDni&pid=News,The Associated Press on MSN.com,13 July 2024,neutral
Nightclubs facing new requirements in Orlando,"ORLANDO, Fla. - Nightclubs in downtown Orlando could soon face new regulations. On Monday, city commissioners voted 6-1 on the first reading of an ordinance to introduce distance requirements for any new clubs. Some commissioners believe spacing out clubs ...",Politics,https://www.fox35orlando.com/news/nightclubs-facing-new-requirements-orlando,https://www.bing.com/th?id=OVFT.AtJI31SmJDg1Ov3WLGr1Ii&pid=News,WOFL,16 July 2024,neutral
"Oil holds ground amid political uncertainty in US, Mideast","Brent crude futures slid 13 cents, or 0.2 per cent, to $84.90 a barrel by 0640 GMT after settling down 37 cents on Friday. US West Texas Intermediate crude stood at $82.15 a barrel, down 6 cents, or 0.",Business,https://www.msn.com/en-ae/money/news/oil-regains-ground-on-political-uncertainty-in-us-mideast/ar-BB1pZA0m,https://www.bing.com/th?id=OVFT.gMBz4-DcmvVrbzG76q-eOS&pid=News,Khaleej Times on MSN.com,15 July 2024,neutral
"Oli Returns as Nepal's Fifth PM in Five Years, Promising Political Stability","Dahal was forced to prove his majority for the fifth time during a tumultuous 20-month tenure after UML withdrew support to his Communist Party of Nepal (Maoist Center) and formed a new alliance with NC, the largest party in parliament.",World,https://www.usnews.com/news/world/articles/2024-07-15/oli-returns-as-nepals-fifth-pm-in-five-years-promising-political-stability,https://www.bing.com/th?id=OVFT.7mip1LE_Niyp_dJrPVCXny&pid=News,U.S. News & World Report,15 July 2024,negative
OpenAI's secret weapon: New AI reasoning technology under code name ‘Strawberry’,"OpenAI, the company behind ChatGPT, is developing a secretive AI project code-named ""Strawberry"" designed to significantly enhance AI reasoning capabilities, potentially leading to breakthroughs in autonomous research and problem-solving.",ScienceAndTechnology,https://www.msn.com/en-in/money/topstories/openais-secret-weapon-new-ai-reasoning-technology-under-code-name-strawberry/ar-BB1pUUW6,https://www.bing.com/th?id=OVFT.sCHkhmEMcMrNmg1coFOj6i&pid=News,Business Today on MSN.com,13 July 2024,neutral
Opinion: Donald Trump's New Mr. Nice Guy Act Doesn't Even Last A Day,"He was a ban summoned from the gates of death in the new telling of the Pilgrim's Progress (Trump edition) Monday morning. It was also complete bullshit. Early on Monday morning when news came through that a Florida judge (and, totally coincidentally ...",World,https://ca.yahoo.com/news/opinion-donald-trumps-unity-platform-201050619.html,https://www.bing.com/th?id=OVFT.JWmBKT3LVdm7g5W1AW1NMS&pid=News,Yahoo News Canada,15 July 2024,negative
Pakistan threaten to boycott 2026 World Cup if India refuse to travel for Champions Trophy 2025,The Pakistan Cricket Board (PCB) is hell bent on hosting the marquee event entirely in the country and is not willing to consider the hybrid model.,Sports,https://odishatv.in/news/sports/pakistan-threaten-to-boycott-2026-world-cup-if-india-refuse-to-travel-for-champions-trophy-2025-239207,https://www.bing.com/th?id=OVFT.YAxGcMKAPr7Rmvcj1Y1Jgi&pid=News,Odisha TV,14 July 2024,negative
Pat Cummins to miss Australia's limited-overs cricket tour to England and Scotland,Australia is scheduled to play three T20s against Scotland and five one-day internationals against England in September,Sports,https://www.msn.com/en-in/sports/cricket/cummins-to-miss-australias-limited-overs-cricket-tour-to-england-and-scotland/ar-BB1pZzRR,https://www.bing.com/th?id=OVFT.oeLnsIkXQvkRmwCUq0_RHS&pid=News,The New Indian Express on MSN.com,15 July 2024,neutral
Race for New York City mayor unofficially kicks off with first round of fundraising,The unofficial start to the 2025 mayoral election is kicking off on Monday with candidates in the already crowded field set to release fundraising figures.,Politics,https://www.msn.com/en-us/news/other/race-for-new-york-city-mayor-unofficially-kicks-off-with-first-round-of-fundraising/ar-BB1q0bsO,https://www.bing.com/th?id=OVFT.p4qLEe-IBQHVTLe3QODlDi&pid=News,New York Post on MSN.com,15 July 2024,neutral
"Rohit Sharma hints at retirement from ODI, Test cricket but not...","Rohit Sharma quashes retirement rumors, confirming continued play in Test and ODI formats. Latest updates on India captain's future plans and recent achievements.",Sports,https://odishatv.in/news/sports/rohit-sharma-hints-at-retirement-from-odi-test-cricket-but-not-239277,https://www.bing.com/th?id=OVFT.lE_FdlGTPQNzATupa0AsoS&pid=News,Odisha TV,15 July 2024,neutral
"Rosenborg vs Manchester United LIVE! Friendly match stream, latest team news, lineups, TV, prediction today",Live stream: Fans can also catch the contest live online via the MUTV app and website. Live blog: You can follow all the action on matchday via Standard Sport ’s live blog. Good afternoon and welcome to Standard Sport’s LIVE coverage of Manchester United’s pre-season friendly against Roseborg. Kick-off from the Lerkendal Stadion is at 5pm BST.,Sports,https://www.msn.com/en-us/sports/soccer/rosenborg-vs-manchester-united-live-friendly-match-stream-latest-team-news-lineups-tv-prediction-today/ar-BB1q0Vd5,https://www.bing.com/th?id=OVFT.EJnoQWb5wPyWrwMS6UuQly&pid=News,London Evening Standard on MSN.com,15 July 2024,positive
"Sanju Samson joins Virat Kohli, Rohit Sharma in elite list in T20 cricket","Sanju Samson shone brightly for India in the fifth T20I against Zimbabwe at Harare Sports Club on Sunday and played a superb knock with the bat. Samson scored 58 runs from 45 balls, including one four and four sixes. His performance helped India reach a ...",Sports,https://www.mykhel.com/cricket/sanju-samson-joins-virat-kohli-rohit-sharma-in-elite-list-in-t20-cricket-293659.html,https://www.bing.com/th?id=OVFT.1YbITiiKnb6GiJctOBXeYy&pid=News,mykhel,14 July 2024,positive
"Scott McTominay Manchester United exit latest - Galatasaray offer, £30m rejected, West Ham interest","Reports last week suggested that both Everton and Fulham were interested in McTominay this summer and United rejected a £30million bid from West Ham United last summer. McTominay, who has also been linked with Newcastle United in the past, was understood to be receptive to that move amid the possibility of getting more regular game-time.",Sports,https://www.msn.com/en-gb/sport/football/scott-mctominay-manchester-united-exit-latest-galatasaray-offer-30m-rejected-west-ham-interest/ar-BB1q1QKe,https://www.bing.com/th?id=OVFT.qaNrfk9w500P0g7C-8Azui&pid=News,Manchester Evening News on MSN.com,15 July 2024,neutral
"SEA vs SF: Check our Fantasy Cricket Prediction, Tips, Playing Team Picks for Major League Cricket 2024, Match 13 on July 16th",Heinrich Klaasen has arrived in the Major League Cricket with a fascinating 51-run knock against Washington Freedom. He is a monstrous six-hitter and looking forward to more such innings in the remainder of the tournament.,Sports,https://in.ign.com/dream-11-fantasy-gaming/210661/news/sea-vs-sf-check-our-fantasy-cricket-prediction-tips-playing-team-picks-for-major-league-cricket-2024,https://www.bing.com/th?id=OVFT.XfkNC5gTRsClw6_jB0KGni&pid=News,IGN,15 July 2024,negative
Secret 'sky island' rainforest saved by new discoveries,It will be the first new species for me.” The process of definitively identifying ... but several days later the bird experts return to camp late at night bringing with them good news. They managed to record sound of the Namuli Apalis on one of the ...,ScienceAndTechnology,https://www.msn.com/en-us/news/world/secret-sky-island-rainforest-saved-by-new-discoveries/ar-BB1q2xcs,https://www.bing.com/th?id=OVFT.aIWkttkBZ90tNcdQgXEwnC&pid=News,BBC on MSN.com,15 July 2024,positive
Serena Williams’ angry Harrison Butker takedown part of star’s latest ESPN pass,"The pandering persists, thus why else would ESPN choose Serena Williams to host an awards show that celebrates and rewards sports?",Sports,https://www.msn.com/en-us/sports/other/serena-williams-angry-harrison-butker-takedown-part-of-star-s-latest-espn-pass/ar-BB1pVzyg,https://www.bing.com/th?id=OVFT.sRek8Whca1RVeRq4bWYosC&pid=News,New York Post on MSN.com,13 July 2024,neutral
Social Media Is A Double-Edged Sword For Indian Women Politicians: Lawyer Mishi Choudhary Explains Why,"Lawyer Mishi Choudhary shed light on the online harassment faced by Indian women politicians, emphasising the urgent need for systemic change.",ScienceAndTechnology,https://www.shethepeople.tv/interviews/mishi-choudhary-legal-director-sflc-women-politicians-online-trolling-6133889,https://www.bing.com/th?id=OVFT.T1IdVXRLA0b-n00ndFeqGy&pid=News,Domestic,15 July 2024,negative
"Spain XI vs England: Predicted lineup, confirmed team news, injury latest for Euro 2024 final","Predicted lineup, confirmed team news, injury latest for Euro 2024 final - La Roja have one big decision to make before facing Three Lions",Sports,https://www.msn.com/en-sg/sport/football/spain-xi-vs-england-predicted-lineup-confirmed-team-news-injury-latest-for-euro-2024-final/ar-BB1pNhdS,https://www.bing.com/th?id=OVFT.rFce6kO6fuXu6-_AOsuX4i&pid=News,Evening Standard on MSN.com,13 July 2024,neutral
Sting announced as new headliner for Bourbon & Beyond. Here's what to know,"Sting was announced as the new Thursday headliner for Bourbon & Beyond after previous headliner, Neil Young, dropped out due to illness. What to know",Entertainment,https://www.msn.com/en-us/entertainment/news/sting-announced-as-new-headliner-for-bourbon-beyond-heres-what-to-know/ar-BB1q1uJn,https://www.bing.com/th?id=OVFT.Ag7enRL-54P5eBWryqUpNC&pid=News,The Courier-Journal on MSN.com,15 July 2024,neutral
Super Star with Cricket Legend: Mahesh Babu & MS Dhoni at Anant Ambani's Wedding,The extravagant wedding of Anant Ambani and Radhika Merchant has not only been a grand affair but also a melting pot,LifeStyle,https://www.indiaglitz.com/super-star-with-cricket-legend-mahesh-babu-and-ms-dhoni-at-anant-ambanis-wedding-telugu-news-357115,https://www.bing.com/th?id=OVFT.O_tT2hCZkVqxjnU3OjjC1i&pid=News,IndiaGlitz,15 July 2024,neutral
Takeaways from Biden’s interview with NBC News,"President Joe Biden defended himself against that critics have seized on in the aftermath of the assassination attempt of former President Donald Trump, but said it was a mistake to say it was “time to put Trump in a bullseye.",Politics,https://www.msn.com/en-us/news/politics/biden-defends-his-rhetoric-but-concedes-it-was-a-mistake-to-make-bullseye-comment-about-trump/ar-BB1q26uO,https://www.bing.com/th?id=OVFT.BX-ue5XQ0u3U8PBz9nWz9S&pid=News,CNN on MSN.com,15 July 2024,negative
Tassie haunts Fremantle once again; West Coast enter new era,"It was another case of Tassie torment for Fremantle against Hawthorn while the Eagles’ new era begun yesterday as they ran out for the first time in 3,766 days without Adam Simpson calling the shots.",Sports,https://www.msn.com/en-au/sport/rugby_league/tassie-haunts-fremantle-once-again-west-coast-enter-new-era/ar-BB1pZh2b,https://www.bing.com/th?id=OVFT.6BZ9GsQzjR9f1tPOHFuddy&pid=News,WAtoday on MSN.com,15 July 2024,negative
"TEX vs NY Dream11 Prediction, Fantasy Cricket Tips, Playing XI, Pitch Report, Player Stats & Injury Updates For Match 12 of Major League Cricket 2024","Texas Super Kings will face MI New York in the 12th match of the Major League Cricket (MLC) 2024 on Monday, July 15, 2024, at Grand Prairie Stadium, Texas. This article will cover match details, pitch report, playing XI, player stats, Dream11 predictions and fantasy cricket tips for the TEX vs NY match.",Sports,https://www.probatsman.com/fantasy-cricket-tips/tex-vs-ny-dream11-prediction-major-league-cricket-2024-match-12,https://www.bing.com/th?id=OVFT.MqMKhlJfjpZg5l-8HrK4sS&pid=News,probatsman,14 July 2024,neutral
